,participant_id,valuable_experience,chance_of_job,program_community,broader_movement,mentor,next_generation_leaders,relationships_virtual_hybrid
233,482,Neither Agree nor Disagree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree
234,483,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
235,484,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
236,485,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree
237,486,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
238,487,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
239,488,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
240,489,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
241,490,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
242,491,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
243,492,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
244,493,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Agree,Agree,Agree
245,494,Agree,Improved my chances a great deal,Agree,Agree,Somewhat Agree,Strongly Agree,Agree
246,495,Moderately Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree
247,496,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
248,497,Moderately Disagree,Moderately improved my chances,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree
249,498,Strongly Agree,Moderately improved my chances,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
250,499,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Somewhat Agree
251,500,Strongly Agree,Improved my chances a great deal,Agree,Agree,Disagree,Strongly Agree,Strongly Agree
252,501,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
253,502,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
254,503,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
255,504,Moderately Agree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree
256,505,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
257,506,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Agree,Somewhat Agree
258,507,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
259,508,Agree,Improved my chances quite a bit,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
260,509,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree
261,510,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
262,511,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
263,512,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
264,513,Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
265,514,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
266,515,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
267,516,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
268,517,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
269,518,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
270,519,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
271,520,Neither Agree nor Disagree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
272,521,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
273,522,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
274,523,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
275,524,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Disagree,Agree,Agree
276,525,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
277,526,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
278,527,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Agree
279,528,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
280,529,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Agree,Agree,Agree
281,530,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
282,531,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
283,532,Agree,Moderately improved my chances,Agree,Agree,Strongly Agree,Agree,Somewhat Agree
284,533,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
285,534,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree
286,535,Moderately Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
287,536,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
288,537,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
289,538,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
290,539,Strongly Agree,Improved my chances a great deal,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
291,540,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
292,541,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
293,542,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree
294,543,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
295,544,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
296,545,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
297,546,Agree,Improved my chances a little,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
298,547,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
299,548,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
300,549,Strongly Agree,Improved my chances a great deal,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
301,550,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
302,551,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree
303,552,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree
304,553,Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Somewhat Agree
305,554,Agree,Improved my chances quite a bit,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree
306,555,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
307,556,Strongly Agree,Improved my chances a great deal,Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree
308,557,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
309,558,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
310,559,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Agree,Agree,Strongly Agree
311,560,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
312,561,Moderately Disagree,Did not improve my chances at all,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree
313,562,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
314,563,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree
315,564,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
316,565,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree
317,566,Strongly Agree,Improved my chances a great deal,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
318,567,Strongly Agree,Improved my chances a great deal,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
319,568,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
320,569,Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Agree
321,570,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
322,571,Agree,Improved my chances a great deal,Agree,Somewhat Agree,Agree,Agree,Agree
323,572,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
324,573,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Agree,Agree,Agree
325,574,Agree,Improved my chances a great deal,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
326,575,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
327,576,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
328,577,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
329,578,Strongly Agree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
330,579,Agree,Improved my chances a great deal,Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Somewhat Agree
331,580,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
332,581,Moderately Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
333,582,Agree,Improved my chances a great deal,Agree,Agree,Somewhat Agree,Agree,Strongly Agree
334,583,Strongly Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
335,584,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree
336,585,Neither Agree nor Disagree,Improved my chances a great deal,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Agree
337,586,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
338,587,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree
339,588,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree
340,589,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
341,590,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree
342,591,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
343,592,Agree,Improved my chances a great deal,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
344,593,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
345,594,Agree,Improved my chances quite a bit,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
346,595,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
347,596,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
348,597,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
349,598,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
350,599,Moderately Agree,Improved my chances a little,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
351,600,Moderately Disagree,Improved my chances a little,Disagree,Disagree,Strongly Disagree,Agree,Somewhat Disagree
352,601,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Strongly Agree
353,602,Agree,Moderately improved my chances,Disagree,Neither Agree nor Disagree,Somewhat Disagree,Agree,Neither Agree nor Disagree
354,603,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree
355,604,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree
356,605,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
357,606,Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Agree
358,607,Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree
359,608,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
360,609,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree
361,610,Strongly Agree,Improved my chances quite a bit,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
362,611,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Agree
363,612,Moderately Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
364,613,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
365,614,Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
366,615,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
367,616,Moderately Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
368,617,Moderately Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
369,618,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
370,619,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
371,620,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
372,621,Agree,Improved my chances quite a bit,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Somewhat Agree
373,622,Agree,Improved my chances quite a bit,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree
374,623,Agree,Improved my chances quite a bit,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree
375,624,Moderately Agree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Somewhat Agree
376,625,Moderately Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree
377,626,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
378,627,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
379,628,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
380,629,Agree,Improved my chances quite a bit,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
381,630,Disagree,Did not improve my chances at all,Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Somewhat Agree
382,631,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
383,632,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
384,633,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
385,634,Moderately Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
386,635,Strongly Agree,Improved my chances a great deal,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree
387,636,Agree,Moderately improved my chances,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
388,637,Strongly Disagree,Improved my chances a great deal,Agree,Agree,Strongly Agree,Agree,Strongly Agree
389,638,Agree,Improved my chances a great deal,Agree,Somewhat Agree,Agree,Agree,Agree
390,639,Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
391,641,Moderately Agree,Improved my chances a little,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree
392,642,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
393,643,Strongly Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree
394,644,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
395,645,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
396,646,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
397,647,Agree,Improved my chances a great deal,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree
398,648,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
399,649,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
400,651,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
401,652,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
402,653,Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Strongly Agree
403,654,Strongly Agree,Improved my chances a great deal,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
404,655,Agree,Improved my chances quite a bit,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
405,656,Agree,Improved my chances quite a bit,Agree,Agree,Disagree,Agree,Agree
406,657,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
407,658,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
408,659,Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
409,660,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
410,661,Moderately Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Strongly Agree
411,662,Agree,Improved my chances a great deal,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
412,663,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
413,664,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Agree
414,665,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
415,666,Strongly Agree,Improved my chances quite a bit,Agree,Agree,Somewhat Agree,Agree,Agree
416,667,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
417,668,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Somewhat Agree
418,669,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree
419,670,Agree,Improved my chances a great deal,Agree,Somewhat Agree,Agree,Agree,Agree
420,671,Neither Agree nor Disagree,Moderately improved my chances,Agree,Agree,Agree,Agree,Agree
421,672,Agree,Improved my chances quite a bit,Agree,Agree,Agree,Agree,Somewhat Agree
422,673,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
423,674,Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
424,675,Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
425,676,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
426,677,Strongly Agree,Moderately improved my chances,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
427,678,Moderately Agree,Improved my chances quite a bit,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
428,679,Neither Agree nor Disagree,Improved my chances a little,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree
429,680,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
430,681,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
431,682,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
432,683,Strongly Agree,Improved my chances quite a bit,Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree
433,684,Neither Agree nor Disagree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
434,685,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
435,686,Moderately Agree,Moderately improved my chances,Agree,Neither Agree nor Disagree,Agree,Agree,Agree
436,687,Strongly Agree,Improved my chances quite a bit,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree
437,688,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
438,689,Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Strongly Agree
439,690,Neither Agree nor Disagree,Moderately improved my chances,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree
440,691,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree
441,692,Moderately Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
442,693,Strongly Agree,Improved my chances a great deal,Agree,Agree,Agree,Agree,Agree
443,694,Strongly Agree,Improved my chances a great deal,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
444,695,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
445,696,Moderately Agree,Improved my chances quite a bit,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree
446,697,Strongly Agree,Improved my chances a great deal,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
447,698,Agree,Improved my chances quite a bit,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Somewhat Agree
448,699,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
449,700,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
450,701,Agree,Improved my chances quite a bit,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree
451,702,Moderately Agree,Improved my chances a great deal,Agree,Agree,Agree,Strongly Agree,Agree
452,703,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
453,704,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
454,705,Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree
455,706,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
456,707,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
457,708,Moderately Agree,Improved my chances quite a bit,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
458,709,Strongly Agree,Improved my chances quite a bit,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
459,710,Agree,Moderately improved my chances,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree
460,711,Strongly Agree,Improved my chances a great deal,Agree,Agree,Neither Agree nor Disagree,Agree,Agree
461,712,Agree,Improved my chances a great deal,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree
462,713,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
463,714,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
464,715,Strongly Agree,Improved my chances a great deal,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
