ParticipantId- Prefill,Program,"We strive to ensure our community is diverse. Please respond to the following questions about your background, identity, and experiences to the extent you feel comfortable. If you do not want to provide this information, please select “I choose not to provide this information.”",African American/Black,"Please specify your selection, to the degree you feel necessary",Please specify,Asian American,"Please specify your selection, to the degree you feel necessary",Please specify,Latinx or Hispanic,"Please specify your selection, to the degree you feel necessary",Please specify,Native American,Would you prefer to specify your selection?,Please specify,Native Alaskan,Would you prefer to specify your selection?,Please specify,Native Hawaiian/Pacific Islander,"Please specify your selection, to the degree you feel necessary",Please specify,White/Caucasian,"Please specify your selection, to the degree you feel necessary",Please specify,Middle Eastern/North African,"Please specify your selection, to the degree you feel necessary",Please specify,Multi-ethnic/Multi-racial,Would you prefer to specify your selection?,Please specify,Other,Would you prefer to specify your selection?,Please specify,I choose not to provide information about the race/ethnicity I identify with.,What is your gender identity?,How likely would you be to recommend Program to a friend?,NPS Score,Program was one of the most valuable personal or professional development experiences I've ever had.,How much do you think Program has improved your chances of getting the job you want after graduation?,Which of the following changes did you experience while completing the Program Accelerator? Please select all that apply.,"I feel part of a larger Program community of Fellows, alumni, and supporters.",I see Program as more than just a course; I feel like I am part of a broader movement.,I have a mentor who encourages my goals and dreams.,I believe the next generation of leaders will emerge from everywhere.,I was able to build relationships with my cohort and coach while in a virtual/hybrid environment.
135,BAY: San Jose Spring 2022,"I identify as a person of color.,I choose not to provide this information.",African American/Black,African American,,Asian American,Japanese,,,,,Native American,Prefer not to specify,,,,,,,,,,,,,,Multi-ethnic/Multi-racial,Prefer not to specify,,,,,,Non-binary,8,8,Agree,Improved my chances quite a bit,"I expanded my professional network,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree
136,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,8,8,Moderately Agree,Improved my chances a little,"I expanded my professional network,I made new friends,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree
137,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,Asian American,Filipino,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my leadership abilities",Neither Agree nor Disagree,Somewhat Agree,Agree,Strongly Agree,Disagree
138,NYC: Lehman Spring 2022,I choose not to provide this information.,African American/Black,African American,,,,,,,,Native American,Prefer not to specify,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
139,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
140,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,6,6,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I gained a tangible plan for achieving my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
142,BAY: San Jose Spring 2022,"I identify as a person of color.,I am a graduate student.",African American/Black,African American,,,,,,,,,,,,,,,,,White/Caucasian,English,,,,,,,,,,,,Male,7,7,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills",Agree,Agree,Somewhat Agree,Agree,Agree
143,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,White/Caucasian,Prefer not to specify,,,,,Multi-ethnic/Multi-racial,Prefer not to specify,,,,,,Female,7,7,Agree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my leadership abilities",Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree
144,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I gained a tangible plan for achieving my career goals,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
145,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
146,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Moderately Agree,Improved my chances quite a bit,"I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree
147,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,Latinx or Hispanic,"Dominican,Puerto Rican",,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree
148,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I improved my interviewing skills,I improved my leadership abilities",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree
149,NYC: Lehman Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
150,NATIONAL: Program Online Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Prefer not to specify,,,Female,6,6,Neither Agree nor Disagree,Improved my chances quite a bit,"I expanded my professional network,I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree
151,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,Multi-ethnic/Multi-racial,Prefer not to specify,,,,,,Male,10(Extremely likely),10,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree
152,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree
153,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I am a graduate student.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Moderately Agree,Improved my chances a little,"I expanded my professional network,I improved my interviewing skills",Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree
154,BAY: San Jose Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).,I am a graduate student.",African American/Black,African American,,,,,,,,Native American,Prefer to specify,Coosuk Abenaki,,,,,,,,,,,,,,,,,,,,Female,7,7,Agree,Moderately improved my chances,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
155,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Moderately Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I obtained an internship, job, or other career-accelerating experience,I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Strongly Agree,Agree,Agree
156,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Neither Agree nor Disagree,Improved my chances a little,"I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
157,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Neither Agree nor Disagree,Moderately improved my chances,"I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
158,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree
159,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I improved my interviewing skills",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
160,NYC: Lehman Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,Latinx or Hispanic,Puerto Rican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree
161,NJ: RU-N Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Agree,Improved my chances a great deal,"I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity",Agree,Agree,Agree,Agree,Agree
162,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Moderately Agree,Improved my chances quite a bit,"I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree
163,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,7,7,Moderately Agree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
164,NATIONAL: Program Online Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Neither Agree nor Disagree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
166,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
167,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
168,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Agree,Moderately improved my chances,"I made new friends,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree
169,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
170,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,9,9,Neither Agree nor Disagree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my interviewing skills,I improved my leadership abilities",Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Agree,Agree
171,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to say,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Somewhat Agree,Agree,Agree,Somewhat Agree
172,BAY: San Jose Spring 2022,I am a graduate student.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,7,7,Neither Agree nor Disagree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals",Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Agree,Strongly Agree
173,NATIONAL: Program Online Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
200,NYC: Lehman Spring 2022,"I identify as a person of color.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
261,NYC: Lehman Spring 2022,"I identify as a person of color.,None of the above",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
264,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,Latinx or Hispanic,Puerto Rican,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree
279,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I obtained an internship, job, or other career-accelerating experience,I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree
285,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).,I am a graduate student.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
337,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
357,NJ: RU-N Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,Latinx or Hispanic,Puerto Rican,,,,,,,,,,,White/Caucasian,"English,German,Irish,Italian",,,,,Multi-ethnic/Multi-racial,Prefer to specify,"irish, german, italian, dutch, black, and puerto rican",,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Neither Agree nor Disagree,Somewhat Agree,Agree
378,NJ: RU-N Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,Latinx or Hispanic,Dominican,,,,,,,,,,,White/Caucasian,English,,,,,Multi-ethnic/Multi-racial,Prefer not to specify,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
379,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Moderately Agree,Moderately improved my chances,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity",Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree
